iter	Logloss	Accuracy
0	0.6726491545	0.8171539756
1	0.6540345807	0.8169436264
2	0.6395684109	0.8167332772
3	0.6235947736	0.8166806899
4	0.6094487213	0.8166806899
5	0.5965315039	0.8168384518
6	0.5834670039	0.8167332772
7	0.5719129323	0.8167332772
8	0.5612141926	0.8166281027
9	0.5510602325	0.8169962137
10	0.5416465854	0.8172065629
11	0.5331385626	0.8187315944
12	0.525299675	0.8190997055
13	0.5181072679	0.8183108961
14	0.5114691771	0.8192048801
15	0.5057162614	0.8183108961
16	0.500218987	0.8186264199
17	0.4948232579	0.8204669752
18	0.4897507188	0.8205195625
19	0.4852649932	0.8205721498
20	0.4812329563	0.8208350862
21	0.4775420056	0.8208350862
22	0.4742873103	0.8210980227
23	0.4711733067	0.8209402608
24	0.4681414364	0.8212557846
25	0.4652401709	0.8219394194
26	0.4626460537	0.8222023559
27	0.4602666557	0.8225178797
28	0.45819374	0.822570467
29	0.4562236291	0.8226756416
30	0.4539510105	0.8227282289
31	0.4523838866	0.8229911653
32	0.4507908888	0.8229911653
33	0.4491469933	0.822938578
34	0.4477218606	0.8228859907
35	0.4462886334	0.8232015145
36	0.4451884476	0.8230437526
37	0.4437572189	0.8232541018
38	0.442364264	0.823464451
39	0.441088429	0.8235170383
40	0.4400752608	0.8234118637
41	0.438963898	0.8237799748
42	0.4379015296	0.8235696256
43	0.436842143	0.8238851493
44	0.4360536806	0.8239377366
45	0.4353458949	0.8241480858
46	0.4346224237	0.8240954985
47	0.4340894524	0.8238325621
48	0.4335053933	0.8240429112
49	0.4328069	0.8240429112
50	0.4321819068	0.8244110223
51	0.4316481722	0.8246213715
52	0.431019935	0.8245161969
53	0.4304518705	0.824358435
54	0.4298955028	0.8244636096
55	0.4294620145	0.8244636096
56	0.4290233903	0.8245687842
57	0.4286953669	0.8244636096
58	0.4283296013	0.8243058477
59	0.4279595528	0.8242532604
60	0.4275040064	0.8242006731
61	0.4271656511	0.824358435
62	0.4267749169	0.8246739588
63	0.426373643	0.8246739588
64	0.4260151004	0.8245687842
65	0.4256628388	0.8246213715
