iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	951	1365	951	4014	951	1365	4014
1	993	1453	993	4014	993	1453	4014
2	990	1451	990	4014	990	1451	4014
3	989	1450	989	4014	989	1450	4014
4	989	1450	989	4014	989	1450	4014
5	989	1447	989	4014	989	1447	4014
6	989	1449	989	4014	989	1449	4014
7	989	1449	989	4014	989	1449	4014
8	988	1449	988	4014	988	1449	4014
9	995	1456	995	4014	995	1456	4014
10	996	1454	996	4014	996	1454	4014
11	1031	1495	1031	4014	1031	1495	4014
12	1033	1492	1033	4014	1033	1492	4014
13	1018	1477	1018	4014	1018	1477	4014
14	1036	1496	1036	4014	1036	1496	4014
15	1023	1487	1023	4014	1023	1487	4014
16	1023	1481	1023	4014	1023	1481	4014
17	1058	1516	1058	4014	1058	1516	4014
18	1064	1527	1064	4014	1064	1527	4014
19	1066	1530	1066	4014	1066	1530	4014
20	1071	1535	1071	4014	1071	1535	4014
21	1075	1543	1075	4014	1075	1543	4014
22	1083	1554	1083	4014	1083	1554	4014
23	1086	1563	1086	4014	1086	1563	4014
24	1095	1575	1095	4014	1095	1575	4014
25	1103	1578	1103	4014	1103	1578	4014
26	1110	1587	1110	4014	1110	1587	4014
27	1111	1583	1111	4014	1111	1583	4014
28	1115	1590	1115	4014	1115	1590	4014
29	1117	1592	1117	4014	1117	1592	4014
30	1117	1591	1117	4014	1117	1591	4014
31	1123	1598	1123	4014	1123	1598	4014
32	1124	1600	1124	4014	1124	1600	4014
33	1126	1605	1126	4014	1126	1605	4014
34	1129	1612	1129	4014	1129	1612	4014
35	1133	1614	1133	4014	1133	1614	4014
36	1133	1617	1133	4014	1133	1617	4014
37	1137	1621	1137	4014	1137	1621	4014
38	1143	1629	1143	4014	1143	1629	4014
39	1145	1632	1145	4014	1145	1632	4014
40	1145	1634	1145	4014	1145	1634	4014
41	1151	1639	1151	4014	1151	1639	4014
42	1157	1655	1157	4014	1157	1655	4014
43	1161	1657	1161	4014	1161	1657	4014
44	1164	1662	1164	4014	1164	1662	4014
45	1167	1664	1167	4014	1167	1664	4014
46	1169	1669	1169	4014	1169	1669	4014
47	1170	1676	1170	4014	1170	1676	4014
48	1174	1680	1174	4014	1174	1680	4014
49	1171	1674	1171	4014	1171	1674	4014
50	1179	1683	1179	4014	1179	1683	4014
51	1182	1685	1182	4014	1182	1685	4014
52	1182	1687	1182	4014	1182	1687	4014
53	1181	1688	1181	4014	1181	1688	4014
54	1185	1694	1185	4014	1185	1694	4014
55	1185	1694	1185	4014	1185	1694	4014
56	1187	1696	1187	4014	1187	1696	4014
57	1186	1696	1186	4014	1186	1696	4014
58	1184	1695	1184	4014	1184	1695	4014
59	1187	1702	1187	4014	1187	1702	4014
60	1184	1697	1184	4014	1184	1697	4014
61	1185	1696	1185	4014	1185	1696	4014
62	1191	1702	1191	4014	1191	1702	4014
63	1193	1706	1193	4014	1193	1706	4014
64	1191	1704	1191	4014	1191	1704	4014
65	1194	1709	1194	4014	1194	1709	4014
66	1193	1708	1193	4014	1193	1708	4014
67	1196	1715	1196	4014	1196	1715	4014
68	1194	1715	1194	4014	1194	1715	4014
69	1197	1719	1197	4014	1197	1719	4014
70	1197	1718	1197	4014	1197	1718	4014
71	1199	1723	1199	4014	1199	1723	4014
72	1200	1724	1200	4014	1200	1724	4014
73	1199	1723	1199	4014	1199	1723	4014
74	1199	1721	1199	4014	1199	1721	4014
75	1201	1725	1201	4014	1201	1725	4014
76	1203	1728	1203	4014	1203	1728	4014
77	1204	1729	1204	4014	1204	1729	4014
78	1204	1729	1204	4014	1204	1729	4014
79	1205	1733	1205	4014	1205	1733	4014
80	1206	1736	1206	4014	1206	1736	4014
81	1206	1738	1206	4014	1206	1738	4014
82	1207	1737	1207	4014	1207	1737	4014
83	1211	1741	1211	4014	1211	1741	4014
84	1211	1741	1211	4014	1211	1741	4014
85	1213	1747	1213	4014	1213	1747	4014
