iter	Passed	Remaining
0	49	49331
1	55	27606
2	58	19421
3	64	16050
4	70	14022
5	76	12644
6	82	11651
7	87	10867
8	93	10348
9	100	9912
10	106	9543
11	112	9232
12	118	9012
13	125	8835
14	132	8689
15	139	8562
16	145	8432
17	152	8293
18	158	8172
19	164	8052
20	170	7947
21	176	7849
22	182	7761
23	188	7671
24	194	7594
25	201	7549
26	208	7503
27	214	7460
28	221	7401
29	226	7335
30	233	7301
31	239	7256
32	246	7214
33	252	7170
34	258	7130
35	264	7092
36	271	7058
37	277	7027
38	284	7001
39	289	6957
40	295	6917
41	301	6884
42	307	6851
43	313	6813
44	319	6782
45	325	6750
46	331	6712
47	337	6691
48	343	6664
49	349	6642
50	356	6632
51	363	6625
52	370	6615
53	376	6603
54	383	6596
55	390	6583
56	397	6576
57	404	6575
58	412	6572
59	420	6584
60	426	6569
61	432	6542
62	438	6520
63	444	6495
64	449	6469
65	455	6451
66	461	6432
67	467	6410
68	473	6392
69	479	6374
70	486	6366
71	493	6359
72	500	6350
73	506	6338
74	512	6319
75	519	6311
76	525	6302
77	532	6291
78	539	6285
79	544	6267
80	551	6254
81	557	6245
82	564	6234
83	570	6222
84	577	6213
85	584	6208
86	590	6201
87	597	6188
88	603	6177
89	609	6167
90	616	6153
91	622	6141
92	628	6125
93	633	6109
94	639	6096
95	646	6088
96	653	6079
97	659	6074
98	666	6065
99	672	6051
100	675	6016
101	681	5999
102	687	5987
103	693	5977
104	699	5966
105	705	5953
106	712	5942
107	718	5931
108	724	5925
109	731	5915
110	737	5908
111	744	5905
112	751	5895
113	757	5884
114	763	5873
115	767	5845
116	773	5837
117	780	5830
118	786	5824
119	792	5813
120	798	5801
121	804	5792
122	811	5784
123	817	5776
124	824	5768
125	829	5757
126	835	5743
127	841	5733
128	847	5723
129	854	5717
130	861	5716
131	869	5716
132	875	5708
133	882	5704
134	888	5696
135	895	5690
136	902	5685
137	909	5679
138	915	5668
139	921	5661
140	928	5655
141	935	5651
142	941	5641
143	947	5634
144	954	5627
145	963	5634
146	970	5633
147	977	5628
148	984	5621
149	990	5615
150	997	5607
151	1004	5602
152	1010	5596
153	1017	5591
154	1024	5585
155	1031	5580
156	1037	5570
157	1044	5566
158	1055	5582
159	1063	5581
160	1070	5580
161	1077	5575
162	1084	5569
163	1091	5563
164	1098	5558
165	1105	5555
166	1112	5549
167	1119	5541
168	1125	5534
169	1131	5526
170	1138	5517
171	1144	5510
172	1151	5503
173	1158	5497
174	1165	5492
175	1171	5483
176	1177	5475
177	1184	5468
